General,,,,,,,,,,,,,,,Engine,,,,,,Pump,,,,,Boiler,,,Rail,,,,Accessory
Project No,AKA,Date,Title,Notes,Original Link,Video,Sheets,Comments,Issues,Keywords,Lubrication,Height,Length,Width,Type,Orientation,Pistons,Reverser,Bore,Stroke,Type,Drive,Cylinders,Bore,Stroke,Fuel,Orrientation,Volume ml,Type,Style,Fuel,Gauge,Type
10-17-00,EVG-P17,Feb 2016,2 CYL. VERT. STEAM ENGINE + PUMPING ENGINES,THE ORIGINAL DRAWINGS AND ARTICLE OF THIS ENGINE WERE BY ELMER VERBURG AND PUBLISHED IN A BOOK AS CHAPTER 17. THE ORIGINAL DRAWINGS WERE POSTED ON: WWW.JOHN-TOM.COM (THIS ENGINE IS 2 TIMES LARGER THAN THE ORIGINAL),https://www.modelesavapeur.com/telechargement7/elmer-17.pdf,,5,,,Catwalk,Oil points,326.5,245.0,230.0,Valve gear,Vertical,2,No,32,32,Piston,Mechanical,2,16,32,,,,,,,,
10-18-00,EVG-P18,Jan 2016,"1 CYL. HORZ. OSCILLATING STEAM ENGINE CALLED ""FANCY 2""",THE ORIGINAL DRAWINGS AND ARTICLE OF THIS ENGINE WERE BY ELMER VERBURG AND PUBLISHED IN A BOOK AS CHAPTER 18. THE ORIGINAL DRAWINGS WERE POSTED ON: WWW.JOHN-TOM.COM (THIS ENGINE IS 2 TIMES LARGER THAN THE ORIGINAL),https://www.modelesavapeur.com/telechargement7/elmer-18.pdf,,2,,,,Oil points,139.0,270.0,113.5,Oscillating,Horizontal,1,Flip inlet,25,35,,,,,,,,,,,,,
10-19-00,EVG-P19,Feb 2016,"1 CYLINDER HORIZONTAL STEAM ENGINE CALLED ""STANDBY""",THE ORIGINAL DRAWINGS AND ARTICLE OF THIS ENGINE WERE BY ELMER VERBURG AND PUBLISHED IN A BOOK AS CHAPTER 19. THE ORIGINAL DRAWINGS WERE POSTED ON: WWW.JOHN-TOM.COM (THIS ENGINE IS 2 TIMES LARGER THAN THE ORIGINAL),https://www.modelesavapeur.com/telechargement7/elmer-19.pdf,,1,,,,None,76.0,110.5,73.0,Rotary valve,Horizontal,1,No,20,26,,,,,,,,,,,,,
10-20-00,EVG-P20,Feb 2016,1 CYL. STEAM ENGINE 'KIMBLE' TYPE USING A VANE TYPE PISTON,THE ORIGINAL DRAWINGS AND ARTICLE OF THIS ENGINE WERE BY ELMER VERBURG AND PUBLISHED IN A BOOK AS CHAPTER 20&21. THE ORIGINAL DRAWINGS WERE POSTED ON: WWW.JOHN-TOM.COM (THIS ENGINE IS 2 TIMES LARGER THAN THE ORIGINAL),https://www.modelesavapeur.com/telechargement7/elmer-20-a.pdf,,3,,,,Oil points,168.0,290.0,95.0,Kimble,,1,No,,,,,,,,,,,,,,,
10-22-00,EVG-P22,Feb 2016,2 CYLINDER VERTICAL OSCILLATING STEAM ENGINE (WOBBLER),THE ORIGINAL DRAWINGS AND ARTICLE OF THIS ENGINE WERE BY ELMER VERBURG AND PUBLISHED IN A BOOK AS CHAPTER 22. THE ORIGINAL DRAWINGS WERE POSTED ON: WWW.JOHN-TOM.COM (THIS ENGINE IS 2 TIMES LARGER THAN THE ORIGINAL),https://www.modelesavapeur.com/telechargement7/elmer-22-evg-p22-a3-sheet-01.pdf,,1,,,,Oil points,92.5,83.0,38.0,Oscillating,Vertical,2,Flip inlet,10,13,,,,,,,,,,,,,
10-23-00,EVG-P23,Feb 2016,"1 CYLINDER VRTICAL OSCILLATING STEAM ENGINE CALLED ""TINY""",THE ORIGINAL DRAWINGS AND ARTICLE OF THIS ENGINE WERE BY ELMER VERBURG AND PUBLISHED IN A BOOK AS CHAPTER 23. THE ORIGINAL DRAWINGS WERE POSTED ON: WWW.JOHN-TOM.COM (THIS ENGINE IS 2 TIMES LARGER THAN THE ORIGINAL),https://www.modelesavapeur.com/telechargement7/elmer-23.pdf,,1,,,,None,63.0,54.0,40.0,Oscillating,Vertical,1,Flip inlet,10,10,,,,,,,,,,,,,
10-24-00,EVG-P24,Feb 2016,1 CYLINDER BALANCED BEAM STEAM ENGINE,THE ORIGINAL DRAWINGS AND ARTICLE OF THIS ENGINE WERE BY ELMER VERBURG AND PUBLISHED IN A BOOK AS CHAPTER 24. THE ORIGINAL DRAWINGS WERE POSTED ON: WWW.JOHN-TOM.COM (THIS ENGINE IS 2 TIMES LARGER THAN THE ORIGINAL),https://www.modelesavapeur.com/telechargement7/elmer-24.pdf,,3,,,Beam,Oil points,190.5,243.0,86.0,Valve gear,Vertical,1,No,12,34,,,,,,,,,,,,,
10-25-00,EVG-P25,Feb 2016,1 CYLINDER HORIZONTAL OSCILLATING STEAM ENGINE (WOBBLER),THE ORIGINAL DRAWINGS AND ARTICLE OF THIS ENGINE WERE BY ELMER VERBURG AND PUBLISHED IN A BOOK AS CHAPTER 25. THE ORIGINAL DRAWINGS WERE POSTED ON: WWW.JOHN-TOM.COM (THIS ENGINE IS 2 TIMES LARGER THAN THE ORIGINAL),https://www.modelesavapeur.com/telechargement7/elmer-25.pdf,,1,,,,Oil points,76.0,145.0,81.0,Oscillating,Horizontal,1,Flip inlet,19,24,,,,,,,,,,,,,
10-26-00,EVG-P26,Mar 2016,1 CYLINDER VERTICAL OSCILLATING STEAM ENGINE AND BOILER PLANT,THE ORIGINAL DRAWINGS AND ARTICLE OF THIS ENGINE WERE BY ELMER VERBURG AND PUBLISHED IN A BOOK AS CHAPTER 26. THE ORIGINAL DRAWINGS WERE POSTED ON: WWW.JOHN-TOM.COM (THIS ENGINE IS 2 TIMES LARGER THAN THE ORIGINAL),https://www.modelesavapeur.com/telechargement7/elmer-26.pdf,,2,I think the engine is 10-23-00,,,None,206.0,235.0,95.0,Oscillating,Vertical,1,No,10,10,,,,,,Liquid,Vertical,283,,,,,
10-27-00,EVG-P27,Mar 2016,4 CYL. V-SHAPED OSCILLATING STEAM ENGINE,THE ORIGINAL DRAWINGS AND ARTICLE OF THIS ENGINE WERE BY ELMER VERBURG AND PUBLISHED IN A BOOK AS CHAPTER 27. THE ORIGINAL DRAWINGS WERE POSTED ON: WWW.JOHN-TOM.COM (THIS ENGINE IS 2 TIMES LARGER THAN THE ORIGINAL),https://www.modelesavapeur.com/telechargement7/elmer-27.pdf,,2,,,,Oil points,148.6,160.0,171.0,Oscillating,V,4,Yes,19,32,,,,,,,,,,,,,
10-28-00,EVG-P28,Mar 2016,4 CYLINDER HORIZONTAL OSCILLATING STEAM ENGINE (H-QUAD) ,THE ORIGINAL DRAWINGS AND ARTICLE OF THIS ENGINE WERE BY ELMER VERBURG AND PUBLISHED IN A BOOK AS CHAPTER 28. THE ORIGINAL DRAWINGS WERE POSTED ON: WWW.JOHN-TOM.COM (THIS ENGINE IS 2 TIMES LARGER THAN THE ORIGINAL),https://www.modelesavapeur.com/telechargement7/elmer-28.pdf,,2,,,,Oil points,75.5,172.1,93.0,Oscillating,Horizontal,4,Yes,14,19,,,,,,,,,,,,,
10-29-00,EVG-P29,Mar 2016,1 CYL. VERTICAL STEAM ENGINE FOR MINING INDUSTRIE.,THE ORIGINAL DRAWINGS AND ARTICLE OF THIS ENGINE WERE BY ELMER VERBURG AND PUBLISHED IN A BOOK AS CHAPTER 29. THE ORIGINAL DRAWINGS WERE POSTED ON: WWW.JOHN-TOM.COM (THIS ENGINE IS 2 TIMES LARGER THAN THE ORIGINAL),https://www.modelesavapeur.com/telechargement7/elmer-29.pdf,,3,,Section B-B of 10 evaporated :P,,Oil points,387.0,171.0,154.0,Valve gear,Vertical,1,No,25,50,,,,,,,,,,,,,
10-30-00,EVG-P30,Mar 2016,1-CYL. HORIZONTAL STEAM ENGINE WITH OPPOSING PISTONS,THE ORIGINAL DRAWINGS AND ARTICLE OF THIS ENGINE WERE BY ELMER VERBURG AND PUBLISHED IN A BOOK AS CHAPTER 30. THE ORIGINAL DRAWINGS WERE POSTED ON: WWW.JOHN-TOM.COM (THIS ENGINE IS 2 TIMES LARGER THAN THE ORIGINAL),https://www.modelesavapeur.com/telechargement7/elmer-30.pdf,,2,,,Opposing pistons,None,168.0,172.0,128.0,Rotary valve,Horizontal,2,No,25,12,,,,,,,,,,,,,
10-32-00,EVG-P32,Mar 2016,1 CYLINDER VERTICAL TALL OPEN COLUMN STEAM ENGINE,THE ORIGINAL DRAWINGS AND ARTICLE OF THIS ENGINE WERE BY ELMER VERBURG AND PUBLISHED IN A BOOK AS CHAPTER 32. THE ORIGINAL DRAWINGS WERE POSTED ON: WWW.JOHN-TOM.COM (THIS ENGINE IS 2 TIMES LARGER THAN THE ORIGINAL),https://www.modelesavapeur.com/telechargement7/elmer-32-a.pdf,,3,,,,Oil points,381.0,179.0,152.0,Valve gear,Vertical,1,No,25,50,,,,,,,,,,,,,
10-33-00,EVG-P33,Mar 2016,1 CYLINDER HORIZONTAL MILL STEAM ENGINE,THE ORIGINAL DRAWINGS AND ARTICLE OF THIS ENGINE WERE BY ELMER VERBURG AND PUBLISHED IN A BOOK AS CHAPTER 33. THE ORIGINAL DRAWINGS WERE POSTED ON: WWW.JOHN-TOM.COM (THIS ENGINE IS 2 TIMES LARGER THAN THE ORIGINAL),https://www.modelesavapeur.com/telechargement7/elmer-33.pdf,,3,,,,Oil points,165.0,361.0,154.0,Valve gear,Horizontal,1,No,25,50,,,,,,,,,,,,,
10-34-00,EVG-P34,Mar 2016,2 CYL. HORIZONTAL STEAM ENGINE WITH 4 OPPOSING PISTONS (CROSS TWIN),THE ORIGINAL DRAWINGS AND ARTICLE OF THIS ENGINE WERE BY ELMER VERBURG AND PUBLISHED IN A BOOK AS CHAPTER 34. THE ORIGINAL DRAWINGS WERE POSTED ON: WWW.JOHN-TOM.COM (THIS ENGINE IS 2 TIMES LARGER THAN THE ORIGINAL),https://www.modelesavapeur.com/telechargement7/elmer-34.pdf,,3,,,Opposing pistons,Oil points,111.6,400.0,162.3,Valve gear,Horizontal,4,No,25,38,,,,,,,,,,,,,
10-35-00,EVG-P35,Mar 2016,1 CYLINDER HORIZONTAL STEAM ENGINE WITH PUMP (STEAM PUMP),THE ORIGINAL DRAWINGS AND ARTICLE OF THIS ENGINE WERE BY ELMER VERBURG AND PUBLISHED IN A BOOK AS CHAPTER 35. THE ORIGINAL DRAWINGS WERE POSTED ON: WWW.JOHN-TOM.COM (THIS ENGINE IS 2 TIMES LARGER THAN THE ORIGINAL),https://www.modelesavapeur.com/telechargement7/elmer-35.pdf,,3,,,,Oil points,113.0,254.4,139.0,Valve gear,Horizontal,1,No,32,32,Piston,Mechanical,1,32,16,,,,,,,,
10-36-00,EVG-P36,Mar 2016,1-CYL. VERTICAL OSCILLATING STEAM ENGINE WITH REVERSER (VERT. REV. WOBBLER),THE ORIGINAL DRAWINGS AND ARTICLE OF THIS ENGINE WERE BY ELMER VERBURG AND PUBLISHED IN A BOOK AS CHAPTER 36. THE ORIGINAL DRAWINGS WERE POSTED ON: WWW.JOHN-TOM.COM (THIS ENGINE IS 2 TIMES LARGER THAN THE ORIGINAL),https://www.modelesavapeur.com/telechargement7/elmer-36.pdf,,2,,,,Oil points,203.5,150.0,104.0,Oscillating,Vertical,1,Yes,32,38,,,,,,,,,,,,,
10-37-00,EVG-P37,Dec 2016,"1 CYLINDER STEAM ENGINE ""GRASSHOPPER"" TYPE",THE ORIGINAL DRAWINGS AND ARTICLE OF THIS ENGINE WERE BY ELMER VERBURG AND PUBLISHED IN A BOOK AS CHAPTER 37.THE ORIGINAL DRAWINGS WERE POSTED ON: WWW.JOHN-TOM.COM (THIS ENGINE IS 1.5 TIMES LARGER THAN THE ORIGINAL),https://www.modelesavapeur.com/telechargement7/elmer-37.pdf,,3,,,Beam,Oil points,188.0,235.5,127.5,Valve gear,Vertical,1,No,19,26,,,,,,,,,,,,,
10-38-00,EVG-P38,Mar 2016,1 CYLINDER VERTICAL STEAM ENGINE WITH REVERSER (VR 75),THE ORIGINAL DRAWINGS AND ARTICLE OF THIS ENGINE WERE BY ELMER VERBURG AND PUBLISHED IN A BOOK AS CHAPTER 38. THE ORIGINAL DRAWINGS WERE POSTED ON: WWW.JOHN-TOM.COM (THIS ENGINE IS 2 TIMES LARGER THAN THE ORIGINAL),https://www.modelesavapeur.com/telechargement7/elmer-38.pdf,,4,,,,Oil points,291.0,200.0,140.0,Valve gear,Vertical,1,Yes,38,38,,,,,,,,,,,,,
10-39-00,EVG-P39,Mar 2016,2x1 CYL. HORIZONTAL STEAM ENGINES WITH ROPE DRIVEN GENERATOR (ROPE DRIVE),THE ORIGINAL DRAWINGS AND ARTICLE OF THIS ENGINE WERE BY ELMER VERBURG AND PUBLISHED IN A BOOK AS CHAPTER 39. THE ORIGINAL DRAWINGS WERE POSTED ON: WWW.JOHN-TOM.COM (THIS ENGINE IS 2 TIMES LARGER THAN THE ORIGINAL),https://www.modelesavapeur.com/telechargement7/elmer-39.pdf,,5,Drawings for a possible generator are available as project 10-38-00,,Govenor,Oil points,221.6,915.0,250.0,Valve gear,Horizontal,2,No,25,50,,,,,,,,,,,,,Electric generator
10-40-00,EVG-P40,Apr 2016,GENERATOR TO BE USED IN PROJECT EVG-P39,THE ORIGINAL DRAWINGS AND ARTICLE OF THIS ENGINE WERE BY ELMER VERBURG AND PUBLISHED IN A BOOK AS CHAPTER 40. THE ORIGINAL DRAWINGS WERE POSTED ON: WWW.JOHN-TOM.COM (THIS ENGINE IS 2 TIMES LARGER THAN THE ORIGINAL),https://www.modelesavapeur.com/telechargement7/elmer-40.pdf,,1,,,,Oil points,112.0,137.0,114.0,,,,,,,,,,,,,,,,,,,Brushed electric generator
10-41-00,EVG-P41,Apr 2016,1 CYLINDER HORIZONTAL FACTORY STEAM ENGINE,THE ORIGINAL DRAWINGS AND ARTICLE OF THIS ENGINE WERE BY ELMER VERBURG AND PUBLISHED IN A BOOK AS CHAPTER 41. THE ORIGINAL DRAWINGS WERE POSTED ON: WWW.JOHN-TOM.COM (THIS ENGINE IS 2 TIMES LARGER THAN THE ORIGINAL),https://www.modelesavapeur.com/telechargement7/elmer-41.pdf,,3,,,,Oil points,165.0,400.0,154.0,Valve gear,Horizontal,1,No,25,50,,,,,,,,,,,,,
10-42-00,EVG-P42,Apr 2016,OSCILLATING CYLINDER AND SLIDE VALVE 1 CYLINDER HORIZONTAL STEAM ENGINE WITH ,THE ORIGINAL DRAWINGS AND ARTICLE OF THIS ENGINE WERE BY ELMER VERBURG AND PUBLISHED IN A BOOK AS CHAPTER 42. THE ORIGINAL DRAWINGS WERE POSTED ON: WWW.JOHN-TOM.COM (THIS ENGINE IS 2 TIMES LARGER THAN THE ORIGINAL),https://www.modelesavapeur.com/telechargement7/elmer-42.pdf,,3,,,Oscilating cylinder,Oil points,162.0,254.0,165.0,Valve gear,Horizontal,1,No,25,38,,,,,,,,,,,,,
10-43-00,EVG-P43,Apr 2016,1 CYLINDER HORIZONTAL MILL STEAM ENGINE WITH REVERSER (HORIZONTAL MILL ENGINE),THE ORIGINAL DRAWINGS AND ARTICLE OF THIS ENGINE WERE BY ELMER VERBURG AND PUBLISHED IN A BOOK AS CHAPTER 43. THE ORIGINAL DRAWINGS WERE POSTED ON: WWW.JOHN-TOM.COM (THIS ENGINE IS 2 TIMES LARGER THAN THE ORIGINAL),https://www.modelesavapeur.com/telechargement7/elmer-43.pdf,,2,,,,Oil points,164.0,228.0,136.0,Valve gear,Horizontal,1,Yes,25,32,,,,,,,,,,,,,
10-44-00,EVG-P44,Apr 2016,2 CYLINDER VERTICAL STEAM ENGINE (OPEN COLUMN TWIN),THE ORIGINAL DRAWINGS AND ARTICLE OF THIS ENGINE WERE BY ELMER VERBURG AND PUBLISHED IN A BOOK AS CHAPTER 44. THE ORIGINAL DRAWINGS WERE POSTED ON: WWW.JOHN-TOM.COM (THIS ENGINE IS 2 TIMES LARGER THAN THE ORIGINAL),https://www.modelesavapeur.com/telechargement7/elmer-44.pdf,,2,Pistons are 180deg from each other so they can share a valve gear,,,Oil points,197.4,212.0,100.0,Valve gear,Vertical,2,No,38,38,,,,,,,,,,,,,
10-45-00,EVG-P45,Apr 2016,1 CYLINDER HORIZONTAL COMPOUND STEAM ENGINE,THE ORIGINAL DRAWINGS AND ARTICLE OF THIS ENGINE WERE BY ELMER VERBURG AND PUBLISHED IN A BOOK AS CHAPTER 45. THE ORIGINAL DRAWINGS WERE POSTED ON: WWW.JOHN-TOM.COM (THIS ENGINE IS 2 TIMES LARGER THAN THE ORIGINAL),https://www.modelesavapeur.com/telechargement7/elmer-45.pdf,,2,,,,Oil points,159.0,278.0,149.5,Valve gear,Horizontal,1,No,38,38,,,,,,,,,,,,,
10-46-00,EVG-P46,Apr 2016,1 CYLINDER COMBER ROTARY STEAM ENGINE,THE ORIGINAL DRAWINGS AND ARTICLE OF THIS ENGINE WERE BY ELMER VERBURG AND PUBLISHED IN A BOOK AS CHAPTER 46. THE ORIGINAL DRAWINGS WERE POSTED ON: WWW.JOHN-TOM.COM (THIS ENGINE IS 2 TIMES LARGER THAN THE ORIGINAL),https://www.modelesavapeur.com/telechargement7/elmer-46.pdf,,2,,,Rotary,Oil points,179.0,165.0,110.0,Rotary valve,Radial,1,Flip inlet,20,25,,,,,,,,,,,,,
10-47-00,EVG-P47,Apr 2016,MODEL BOAT STEAM ENGINE 1 CYLINDER HORIZONTAL OSCILLATING,THE ORIGINAL DRAWINGS AND ARTICLE OF THIS ENGINE WERE BY ELMER VERBURG AND PUBLISHED IN A BOOK AS CHAPTER 47. THE ORIGINAL DRAWINGS WERE POSTED ON: WWW.JOHN-TOM.COM (THIS ENGINE IS 2 TIMES LARGER THAN THE ORIGINAL),https://www.modelesavapeur.com/telechargement7/elmer-47.pdf,,2,,"Stroke is unconstrained, I measured it aproximatly from the drawing",,None,72.0,196.0,76.0,Oscillating,Horizontal,1,Flip inlet,22,32,,,,,,,,,,,,,
10-48-00,EVG-P48,Apr 2016,1 CYLINDER HORIZONTAL UNA-FLOW STEAM ENGINE.,THE ORIGINAL DRAWINGS AND ARTICLE OF THIS ENGINE WERE BY ELMER VERBURG AND PUBLISHED IN A BOOK AS CHAPTER 48. THE ORIGINAL DRAWINGS WERE POSTED ON: WWW.JOHN-TOM.COM (THIS ENGINE IS 2 TIMES LARGER THAN THE ORIGINAL),https://www.modelesavapeur.com/telechargement7/elmer-48.pdf,,3,,,,Oil points,138.0,208.0,146.0,Valve gear,Horizontal,1,No,25,31,,,,,,,,,,,,,
10-49-00,EVG-P49,Apr 2016,VAUXHALL DONKEY PUMP 1 CYLINDER VERTICAL STEAM ENGINE WITH,THE ORIGINAL DRAWINGS AND ARTICLE OF THIS ENGINE WERE BY ELMER VERBURG AND PUBLISHED IN A BOOK AS CHAPTER 49. THE ORIGINAL DRAWINGS WERE POSTED ON: WWW.JOHN-TOM.COM (THIS ENGINE IS 2 TIMES LARGER THAN THE ORIGINAL),https://www.modelesavapeur.com/telechargement7/elmer-49.pdf,,2,,,,Oil points,296.5,119.0,116.0,Valve gear,Vertical,1,No,25,26,Piston,Mechanical,1,12,26,,,,,,,,
10-50-00,EVG-P50,Apr 2016,1 CYLINDER HORIZONTAL STEAM ENGINE EDUCATIONAL MODEL,THE ORIGINAL DRAWINGS AND ARTICLE OF THIS ENGINE WERE BY ELMER VERBURG AND PUBLISHED IN A BOOK AS CHAPTER 50. THE ORIGINAL DRAWINGS WERE POSTED ON: WWW.JOHN-TOM.COM (THIS ENGINE IS 2 TIMES LARGER THAN THE ORIGINAL),https://www.modelesavapeur.com/telechargement7/elmer-50.pdf,,3,,,,Oil points,312.5,813.0,180.0,Valve gear,Horizontal,1,No,22,100,,,,,,,,,,,,,
10-51-00,EVG-P51,Apr 2016,3 CYLINDER OSCILLATING STEAM ENGINE (V3R),THE ORIGINAL DRAWINGS AND ARTICLE OF THIS ENGINE WERE BY ELMER VERBURG AND PUBLISHED IN A BOOK AS CHAPTER 51. THE ORIGINAL DRAWINGS WERE POSTED ON: WWW.JOHN-TOM.COM (THIS ENGINE IS 2 TIMES LARGER THAN THE ORIGINAL),https://www.modelesavapeur.com/telechargement7/elmer-51.pdf,,2,,,,None,145.0,175.6,147.0,Oscillating,Vertical,3,Yes,20,24,,,,,,,,,,,,,
10-52-00,EVG-P52,Apr 2016,2 CYLINDER VERTICAL OSCILLATING STEAM ENGINE WITH REVERSER,THE ORIGINAL DRAWINGS AND ARTICLE OF THIS ENGINE WERE BY ELMER VERBURG AND PUBLISHED IN A BOOK AS CHAPTER 52. THE ORIGINAL DRAWINGS WERE POSTED ON: WWW.JOHN-TOM.COM (THIS ENGINE IS 2 TIMES LARGER THAN THE ORIGINAL),https://www.modelesavapeur.com/telechargement7/elmer-52.pdf,,2,,,,Oil points,226.0,182.0,146.0,Oscillating,Vertical,2,Yes,25,40,,,,,,,,,,,,,
09A-44-00,,Jan 2025,A COMPLETE STEAM PLANT WITH VERTICAL OSCILLATING ENGINE AND BOILER.,"THE ORIGINAL DRAWINGS WERE GIVEN TO ME. THE DRAWINGS AND ARTICLE WERE PUBLISHED IN AN UNSPECIFIED MAGAZINE UNDER THE TITLE ""CHAPTER FIVE, JENNY WREN, A MINIATURE VERTICAL STEAM ENGINE"". THE ENGINE SHOWN ON THESE DRAWINGS IS 2.5 TIMES THE ORIGINAL",https://www.modelesavapeur.com/telechargements0/09a-44.pdf,,2,,,,None,189.5,150.0,81.5,Oscillating,Vertical,1,No,7.5,14,,,,,,Liquid,Vertical,189,,,,,
09A-52-00,,Jan 2025,1 CYLINDER HORIZONTAL OSCILLATING STEAM ENGINE WITH SPIRIT FIRED BOILER,"ORIGINAL DRAWINGS WERE GIVEN TO ME. THE DRAWING TITLE WAS: ""MICRO STEAM ENGINE"". INFO FOUND ON THE DRAWINGS. DESIGNER UNKOWN, MODIFIED BY JIRI SAJBRT, DATE 13.06-2005. WRITING WAS IN ZCECHY AND ENGLISH. ENGINE SHOWN IS TWICE THE ORIGINAL",https://www.modelesavapeur.com/telechargements0/09a-52.pdf,,2,,,,None,211.0,110.0,100.0,Oscillating,Horizontal,1,No,12,22,,,,,,Liquid,Vertical,70,,,,,
09A-63-00,,Aug 2025,A STEAM PLANT WITH AN 1 CYLINDER OSCILLATING ENGINE FOR BEGINNERS.,"I FOUND THE ORIGINAL DRAWINGS AND CONSTRUCTION NOTES ON THE INTERNET. THE PROJECT HEADING WAS: ""OPITEC, 112.420, STEAM ENGINE BY MICHAEL CLEVER AND ROLF KIEFER"". THE ENGINE SHOWN ON THESE DRAWINGS IS ENLARGED 1.5x. SOME ALTERATIONS HAVE BEEN MADE",https://www.modelesavapeur.com/telechargements0/09a-63-00.pdf,,3,,,,None,177.6,248.5,180.0,Oscillating,Horizontal,1,No,12,36,,,,,,Liquid,Horizontal,383,,,,,
01-52-00,,Jan 2023,A BOILER FOR A GWR 0-4-2 14XX CLASS 5inch LOCOMOTIVE,FOUND HE ORIGINAL DRAWING(S) ON THE INTERNET AND WERE SIGNED BY C.J.STROETINGO? DATED JUNE 1996,https://www.modelesavapeur.com/telechargements0/a-boiler-for-a-0-4-2-class-5-inch-locomotive.pdf,,4,,Volume is SUPER aproximated,,,202.0,422.5,129.0,,,,,,,,,,,,Solid,Horizontal,2396,,,,,
01-42-00,,Nov 2020,A DONKEY SKID/SLEDGE MOUNTED COAL FIRED BOILER,"THE ORIGINAL DRAWINGS WERE GIVEN TO ME. THE AUTHOR(S), DRAFTER(S), ORIGINATOR(S) ARE UNKOWN. NO TITLE BLOCK TO BE FOUND ON THE DRAWINGS. THE ORIGINAL DRAWING WERE IN FRENCH.",https://www.modelesavapeur.com/telechargements0/a-donkey-skid-sledge-mounted-coal-fired-boiler.pdf,,5,,Volume is aproximated,,,581.3,355.0,231.0,,,,,,,,,,,,Solid,Vertical,2245,,,,,
07E-17-00,NGRC-64-09,Mar 2018,MODEL OF A GAS FIRED NARROW GAUGE RAILCAR FOR 2.5INCH/64mm GAUGE,THIS ENGINE IS LOOSELY BASED ON THE ORIGINAL DESIGN BY Mr J.P. DUVAL.THE DRAWINGS WERE FOUND THE INTERNET ON THE WEBSITE OF JOHN TOM (www.john-tom.com),https://www.modelesavapeur.com/telechargemennts/automotrice-vapeur-j.p-duval-jdw.pdf,,9,,Volume is aproximated,,None,307.5,870.3,206.0,Oscillating,Vertical,2,Yes,14,30,,,,,,Gass,Vertical,893,Tram,Steam,Gass,"2.5"" 64mm",
03-18-02,,Sep 2025,"DESIL-ELECTRIC LOCOMOTIVE OF THE BRITISH RAILWAY CLASS 08 (127mm/5"" GAGUE)","THIS ENGINE IS BASED ON AN EARLIER PROKECT (03-18-00) WHICH WAS DRAWN UP IN OCTOBER 2019. THIS ENGINE SHOWN ON THESE DRAWINGS IS A CONVERSION FROM 89mm/3.5"" GAGUE",https://www.modelesavapeur.com/telechargement5/03-18-02.pdf,,8,,,,None,325.0,789.0,262.0,,,,,,,,,,,,,,,Loco,Diesel,Unpowered,"5"" 127mm",
02-02-00,,Sep 2022,A BACK-YARD (GARDEN) TOY LOCOMOTIVE ELECTRICALLY OPERATED (PUSH/PULL COILS),"FOUND THE ORIGINAL DRAWINGS ON THE INTERNET. TITLE OF THE DOCUMENTATION IS: ""BACK-YARD RAILROAD"" BY W. CLYDE LAMMEY. DESIGN AND BUILD BY ROBERT WOOLSON. TO DOWN LOAD ORIGINALS GO TO: https://www.scribd.com/document/2532299/Train-Backyard-Toy#sidebar",https://www.modelesavapeur.com/telechargement5/a-back-yard-garden-toy-locomotive-electricaly-operated.pdf,,9,Includes track and wiring,,,None,1095.2,1853.5,779.0,,,,,,,,,,,,,,,Loco,Steam,Electric,375mm,
LRP-G-45,,Mar 2012,LARGE RADIUS (R1200) POINT FOR G-GAUGE 45mm,,https://www.modelesavapeur.com/telechargement5/aiguillage-grand-rayon-45mm.pdf,,2,,,,,17.5,448.0,164.0,,,,,,,,,,,,,,,Track,,,45mm (LGB),
BT-45-A502,,Sep 2012,"THE ""BLAUWE TRAM"" OF THE NZH MOTOR WAGON A502 AND WAGON B501",,https://www.modelesavapeur.com/telechargement5/blauwe-tram-a502-a501-45mm-2015.pdf,,9,"Alternate gagues available as BT-45-A502, BT-A502-B501, & BT-WD-500S",,,,203.0,870.0,75.3,,,,,,,,,,,,,,,Tram,Electric,Unpowered,45mm (LGB),
BT-A502-B501,,Feb 2012,"THE ""BLAUWE TRAM"" OF THE NZH MOTOR WAGON A502 AND WAGON B501",,https://www.modelesavapeur.com/telechargement5/blauwe-tram-a502-a501-64mm-2015.pdf,,10,"Alternate gagues available as BT-45-A502, BT-A502-B501, & BT-WD-500S",,,,291.7,1243.4,108.0,,,,,,,,,,,,,,,Tram,Electric,Unpowered,"2.5"" 64mm",
BT-WD-500S,,Mar 2012,"THE ""BLAUWE TRAM"" OF THE NZH MOTOR WAGON A502 AND WAGON B501",,https://www.modelesavapeur.com/telechargement5/blauwe-tram-a502-a501-184mm-2015.pdf,,15,"Alternate gagues available as BT-45-A502, BT-A502-B501, & BT-WD-500S",,,,803.0,3558.0,316.0,,,,,,,,,,,,,,,Tram,Electric,Unpowered,"7.25"" 184mm",
01-04-01-02-01,CPLNG-A,Aug 2010,COUPLING FOR LGB SCALE TRAINS BASED ON NZ RAILWAYS,,https://www.modelesavapeur.com/telechargement5/cplg-a-sheet-01.pdf,,1,Newer version available as CPLNG-E,,,,12.0,88.0,12.0,,,,,,,,,,,,,,,Coupling,,,45mm (LGB),
01-04-01-02-02,CPLNG-B,Aug 2010,COUPLING FOR LGB SCALE TRAINS BASED ON LGB DESIGN,,https://www.modelesavapeur.com/telechargement5/cplg-b-sheet-01.pdf,,1,,,,,15.0,96.0,15.0,,,,,,,,,,,,,,,Coupling,,,45mm (LGB),
